values,,Magnetometer,Magnetometer,Magnetometer
axis,,x,y,z
Sensor,Sample,,,
1,60,-0.05746725425388664,0.08340678173583058,0.015711837434202472
1,61,-0.05730199534826784,0.0828008324152283,0.015681233933161953
1,62,-0.0572285469457706,0.08299057412167951,0.015907699840861794
1,63,-0.057277512547435426,0.08297833272126331,0.015381319622964868
1,64,-0.05746725425388664,0.08275186681356347,0.01525890561880279
1,65,-0.057210184845146284,0.08314971232709022,0.015381319622964868
1,66,-0.05710001224140041,0.08321091932917127,0.015809768637532133
1,67,-0.057418288652221816,0.08316807442771454,0.015668992532745746
1,68,-0.057222426245562494,0.08276410821397968,0.01557718202962419
1,69,-0.05705716733994369,0.083137470926674,0.01566287183253764
1,70,-0.057363202350348884,0.08297833272126331,0.015081405312767781
1,71,-0.057020443138695066,0.08302117762272004,0.014665197698616721
1,72,-0.05714897784306525,0.08299057412167951,0.01474476680132207
1,73,-0.05714897784306525,0.08299057412167951,0.01474476680132207
1,74,-0.057204064144938185,0.08291100501897417,0.01500183621006243
1,75,-0.0573876851511813,0.08305178112376056,0.014787611702778796
1,76,-0.057210184845146284,0.08303953972334435,0.014432611090708777
1,77,-0.05735708165014077,0.08310686742563349,0.015020198310686742
1,78,-0.057363202350348884,0.08321091932917127,0.014805973803403108
1,79,-0.05741216795201372,0.08275798751377159,0.014671318398824826
1,80,-0.05714285714285714,0.083137470926674,0.015081405312767781
1,81,-0.05757130615742441,0.0829660913208471,0.014903905006732771
1,82,-0.057338719549516456,0.08254376300648794,0.015142612314848819
1,83,-0.057026563838903165,0.08298445342147141,0.014769249602154486
1,84,-0.05718570204431387,0.08297833272126331,0.014965112008813808
1,85,-0.05730199534826784,0.08305790182396866,0.014708042600073449
1,86,-0.05717346064389767,0.08286816011751744,0.015222181417554168
1,87,-0.057222426245562494,0.08293548781980659,0.0151120088138083
1,88,-0.05750397845513526,0.08285591871710124,0.0151120088138083
1,89,-0.057277512547435426,0.0827947117150202,0.015087526012975885
1,90,-0.057363202350348884,0.08292324641939038,0.01566287183253764
1,91,-0.057363202350348884,0.08292324641939038,0.01566287183253764
1,92,-0.0573999265515975,0.08317419512792264,0.01552821642795936
1,93,-0.05717346064389767,0.08301505692251193,0.015289509119843312
1,94,-0.057308116048475945,0.08323540213000367,0.01551597502754315
1,95,-0.0572407883461868,0.083137470926674,0.015356836822132453
1,96,-0.0572346676459787,0.08312522952625781,0.015240543518178478
1,97,-0.057179581344105765,0.08306402252417676,0.015809768637532133
1,98,-0.057136736442649036,0.08310074672542539,0.01519157791651365
1,99,-0.05728363324764353,0.08305790182396866,0.015546578528583672
2,0,0.11918227445219734,-0.08706696046027665,0.07509487085322561
2,1,0.11916391235157302,-0.08741584037213858,0.07466642183865835
2,2,0.11901089484637042,-0.08703023625902803,0.0752234055575958
2,3,0.11901089484637042,-0.08703023625902803,0.0752234055575958
2,4,0.11926184355490269,-0.08742808177255477,0.07287917737789204
2,5,0.11917003305178113,-0.08733627126943322,0.07530909536050924
2,6,0.11917003305178113,-0.08733627126943322,0.0749296119476068
2,7,0.11908434324886767,-0.087146529562982,0.0749296119476068
2,8,0.1189925327457461,-0.08715877096339822,0.07402374831680744
2,9,0.11926184355490269,-0.08700575345819563,0.07425633492471538
2,10,0.11926184355490269,-0.08700575345819563,0.07425633492471538
2,11,0.11907822254865956,-0.08738523687109805,0.07350960949932672
2,12,0.11892520504345697,-0.08737911617088995,0.07514995715509855
2,13,0.11892520504345697,-0.08737911617088995,0.07514995715509855
2,14,0.1191210674501163,-0.08723834006610356,0.07532133676092545
2,15,0.11935365405802423,-0.0871526502631901,0.07445831803158282
