Time,X,Y,Z
2025-03-26T15:56:38.441,     109.24,      197.31,      140.78
2025-03-26T15:56:38.958,     109.23,      197.33,      140.75
2025-03-26T15:56:39.361,        NaN,         NaN,         NaN
2025-03-26T15:56:53.693,        NaN,         NaN,         NaN
2025-03-26T15:56:54.092,     109.23,      197.35,      140.80
2025-03-26T15:56:54.607,     109.23,      197.34,      140.81
2025-03-26T15:56:55.124,     109.23,      197.34,      140.82
2025-03-26T15:56:55.641,     109.22,      197.34,      140.77
2025-03-26T15:56:56.190,     109.22,      197.36,      140.80
2025-03-26T15:56:56.704,     109.23,      197.34,      140.79
2025-03-26T15:56:57.220,     109.23,      197.35,      140.79
2025-03-26T15:56:57.737,     109.24,      197.35,      140.79
2025-03-26T15:56:58.254,     109.24,      197.34,      140.77
2025-03-26T15:56:58.754,     109.22,      197.33,      140.78
2025-03-26T15:56:59.269,     109.23,      197.34,      140.80
2025-03-26T15:56:59.786,     109.22,      197.35,      140.81
2025-03-26T15:57:00.287,     109.22,      197.33,      140.82
2025-03-26T15:57:00.801,     109.23,      197.33,      140.78
2025-03-26T15:57:01.317,     109.23,      197.33,      140.81
2025-03-26T15:57:01.818,     109.24,      197.33,      140.81
2025-03-26T15:57:02.334,     109.23,      197.34,      140.81
2025-03-26T15:57:02.882,     109.23,      197.34,      140.81
2025-03-26T15:57:03.398,     109.22,      197.34,      140.84
2025-03-26T15:57:03.915,     109.23,      197.34,      140.84
2025-03-26T15:57:04.464,     109.23,      197.35,      140.82
2025-03-26T15:57:04.982,     109.23,      197.33,      140.79
2025-03-26T15:57:05.483,     109.22,      197.34,      140.80
2025-03-26T15:57:06.030,     109.22,      197.34,      140.85
2025-03-26T15:57:06.546,     109.23,      197.35,      140.83
2025-03-26T15:57:07.062,     109.23,      197.33,      140.83
2025-03-26T15:57:07.610,     109.24,      197.35,      140.81
2025-03-26T15:57:08.127,     109.24,      197.34,      140.79
2025-03-26T15:57:08.676,     109.24,      197.33,      140.76
2025-03-26T15:57:09.191,     109.23,      197.35,      140.82
2025-03-26T15:57:09.709,     109.24,      197.33,      140.85
2025-03-26T15:57:10.258,     109.23,      197.36,      140.85
2025-03-26T15:57:10.823,     109.23,      197.34,      140.81
