No.,X,Y,Z,Displacement [mm]
  311,       0.05,        0.11,       -0.09,       0.15
  312,       0.13,        0.11,       -0.04,       0.18
  313,       0.33,        0.11,        0.17,       0.39
  314,       0.43,        0.11,        0.29,       0.53
  315,       0.44,        0.13,        0.40,       0.61
  316,       0.44,        0.12,        0.36,       0.58
  317,       0.32,        0.12,        0.17,       0.38
  318,       0.14,        0.10,        0.00,       0.18
  319,       0.11,        0.08,       -0.02,       0.14
  320,       0.11,        0.11,        0.05,       0.16
  321,       0.11,        0.12,        0.02,       0.16
  322,       0.22,        0.09,        0.10,       0.25
  323,       0.25,        0.11,        0.15,       0.31
  324,       0.13,        0.10,        0.04,       0.17
  325,       0.13,        0.10,        0.01,       0.16
  326,       0.14,        0.08,       -0.01,       0.16
  327,       0.17,        0.09,        0.04,       0.20
  328,       0.31,       -0.14,        0.51,       0.61
  329,       0.43,       -0.46,        1.04,       1.22
  330,       0.43,       -0.44,        1.09,       1.26
  331,       0.45,       -0.46,        1.10,       1.27
  332,       0.42,       -0.45,        1.07,       1.23
  333,       0.43,       -0.45,        0.99,       1.17
  334,       0.40,       -0.42,        1.03,       1.18
  335,       0.39,       -0.41,        0.96,       1.12
  336,       0.39,       -0.42,        1.00,       1.15
  337,       0.38,       -0.39,        1.00,       1.14
  338,       0.34,       -0.19,        0.65,       0.76
  339,       0.17,        0.00,        0.18,       0.24
  340,       0.15,        0.02,        0.19,       0.24
  341,       0.15,        0.02,        0.14,       0.21
  342,       0.15,        0.03,        0.13,       0.20
  343,       0.14,        0.04,        0.19,       0.24
  344,       0.15,        0.01,        0.17,       0.23
  345,       0.15,       -0.01,        0.11,       0.19
  346,       0.15,        0.02,        0.15,       0.21
  347,       0.15,        0.01,        0.18,       0.23
  348,       0.16,        0.01,        0.15,       0.22
  349,       0.20,        0.01,        0.17,       0.26
  350,       0.23,        0.04,        0.19,       0.30
  351,       0.23,        0.02,        0.21,       0.32
  352,       0.23,        0.03,        0.21,       0.31
  353,       0.23,        0.02,        0.19,       0.30
  354,       0.39,       -0.02,        0.19,       0.44
  355,       0.44,       -0.07,        0.17,       0.48
  356,       0.38,       -0.06,        0.15,       0.41
  357,       0.43,       -0.07,        0.14,       0.46
  358,       0.41,       -0.06,        0.14,       0.44
  359,       0.49,       -0.06,        0.16,       0.52
  360,       0.54,       -0.09,        0.09,       0.55
  361,       0.53,       -0.11,        0.07,       0.54
  362,       0.50,       -0.07,        0.08,       0.51
  363,       0.51,       -0.07,        0.07,       0.51
  364,       0.53,       -0.07,        0.09,       0.54
  365,       0.52,       -0.06,        0.06,       0.53
  366,       0.49,       -0.07,        0.03,       0.50
  367,       0.50,       -0.08,       -0.01,       0.51
  368,       0.52,       -0.07,       -0.01,       0.53
  369,       0.52,       -0.07,        0.07,       0.52
  370,       0.50,       -0.06,        0.07,       0.51
  371,       0.48,       -0.07,        0.04,       0.49
  372,       0.33,       -0.05,        0.01,       0.33
  373,      -0.19,        0.00,       -0.07,       0.21
  374,      -0.18,        0.02,       -0.06,       0.19
  375,      -0.17,        0.01,       -0.12,       0.21
  376,      -0.15,        0.05,       -0.16,       0.22
  377,       0.13,        0.43,       -0.32,       0.55
  378,       0.15,        0.44,       -0.39,       0.60
  379,       0.14,        0.39,       -0.33,       0.53
  380,       0.02,        0.24,       -0.13,       0.28
  381,       0.03,        0.21,       -0.11,       0.24
  382,       0.01,        0.21,       -0.14,       0.25
  383,       0.01,        0.25,       -0.11,       0.27
  384,       0.10,        0.53,       -0.42,       0.68
  385,       0.24,        0.77,       -0.74,       1.10
  386,       0.34,        0.73,       -0.79,       1.13
  387,       0.45,        0.80,       -0.87,       1.26
  388,       0.48,        0.75,       -0.88,       1.25
  389,       0.48,        0.74,       -0.89,       1.25
  390,       0.45,        0.74,       -0.88,       1.23
  391,       0.46,        0.75,       -0.86,       1.23
  392,       0.48,        0.76,       -0.80,       1.20
  393,       0.51,        0.73,       -0.89,       1.26
  394,       0.51,        0.75,       -0.87,       1.25
  395,       0.51,        0.75,       -0.88,       1.26
  396,       0.51,        0.72,       -0.93,       1.28
  397,       0.51,        0.74,       -0.91,       1.28
  398,       0.53,        0.75,       -0.89,       1.27
  399,       0.53,        0.75,       -0.90,       1.28
  400,       0.52,        0.76,       -0.88,       1.28
  401,       0.52,        0.76,       -0.87,       1.27
  402,       0.54,        0.76,       -0.88,       1.28
  403,       0.53,        0.73,       -0.88,       1.26
  404,       0.52,        0.72,       -0.85,       1.23
  405,       0.43,        0.52,       -0.50,       0.84
