,x,y,z,Mx,My,Mz,Mx_std,My_std,Mz_std
604,-3.2,1.6,7.2,1.3965000000000003,-1.5680000000000005,3.136000000000001,0.13674317887813256,4.463264492478967e-16,8.926528984957934e-16
605,4.0,-2.4,10.4,-1.5680000000000005,0.6164200000000001,1.5680000000000005,4.463264492478967e-16,0.12864273446764543,4.463264492478967e-16
606,-2.4,2.4,10.4,0.2763600000000001,-1.5680000000000005,1.5680000000000005,0.12093487019169792,4.463264492478967e-16,4.463264492478967e-16
607,1.6,1.6,4.8,-4.704000000000001,-3.136000000000001,7.840000000000003,0.0,8.926528984957934e-16,3.570611593983174e-15
608,2.4,-2.4,8.0,-1.7248000000000008,1.2406800000000002,2.8851200000000006,0.47276978829793337,0.1224019607686086,0.5777342243102739
609,3.2,-2.4,5.6,-4.704000000000001,1.5680000000000005,3.136000000000001,0.0,4.463264492478967e-16,8.926528984957934e-16
610,-0.8,3.2,12.0,-0.8065399999999999,-1.5680000000000005,1.5680000000000005,0.8419748721027993,4.463264492478967e-16,4.463264492478967e-16
611,1.6,-1.6,4.0,-6.272000000000002,3.136000000000001,9.408000000000001,1.785305796991587e-15,8.926528984957934e-16,1.785305796991587e-15
612,-1.6,-2.4,5.6,0.9515800000000002,1.8345600000000004,6.272000000000002,0.10543428035865506,0.5919594635316227,1.785305796991587e-15
613,-2.4,4.0,8.0,0.5507600000000001,-2.1795199999999997,2.1011200000000003,0.13703019795473975,0.7686447798403093,0.7465173183970125
614,4.0,-4.0,12.0,-1.5680000000000005,0.5831000000000001,1.2916400000000001,4.463264492478967e-16,0.14961644564713072,0.0840146115237995
615,1.6,2.4,6.4,-3.136000000000001,-2.7596800000000012,4.704000000000001,8.926528984957934e-16,0.6730400033137748,0.0
616,4.0,3.2,11.2,-1.5680000000000005,-1.5680000000000005,1.4974400000000005,4.463264492478967e-16,4.463264492478967e-16,0.065452013419039
